title,reviews_link
The Disaster Artist,https://www.imdb.com/title/tt3521126/reviews?ref_=tt_urv
Raw,https://www.imdb.com/title/tt4954522/reviews?ref_=tt_urv
The Big Sick,https://www.imdb.com/title/tt5462602/reviews?ref_=tt_urv
Stronger,https://www.imdb.com/title/tt3881784/reviews?ref_=tt_urv
Lovesong,https://www.imdb.com/title/tt4305148/reviews?ref_=tt_urv
Lady Macbeth,https://www.imdb.com/title/tt4291600/reviews?ref_=tt_urv
The Beguiled,https://www.imdb.com/title/tt5592248/reviews?ref_=tt_urv
Patriots Day,https://www.imdb.com/title/tt4572514/reviews?ref_=tt_urv
Darkest Hour,https://www.imdb.com/title/tt4555426/reviews?ref_=tt_urv
The Square,https://www.imdb.com/title/tt4995790/reviews?ref_=tt_urv
The Hero,https://www.imdb.com/title/tt5655222/reviews?ref_=tt_urv
Personal Shopper,https://www.imdb.com/title/tt4714782/reviews?ref_=tt_urv
Only the Brave,https://www.imdb.com/title/tt3829920/reviews?ref_=tt_urv
"I, Tonya",https://www.imdb.com/title/tt5580036/reviews?ref_=tt_urv
The Post,https://www.imdb.com/title/tt6294822/reviews?ref_=tt_urv
Song to Song,https://www.imdb.com/title/tt2062700/reviews?ref_=tt_urv
The Florida Project,https://www.imdb.com/title/tt5649144/reviews?ref_=tt_urv
Wonder,https://www.imdb.com/title/tt2543472/reviews?ref_=tt_urv
T2 Trainspotting,https://www.imdb.com/title/tt2763304/reviews?ref_=tt_urv
Land of Mine,https://www.imdb.com/title/tt3841424/reviews?ref_=tt_urv
David Lynch: The Art Life,https://www.imdb.com/title/tt1691152/reviews?ref_=tt_urv
The Survivalist,https://www.imdb.com/title/tt2580382/reviews?ref_=tt_urv
John Wick: Chapter 2,https://www.imdb.com/title/tt4425200/reviews?ref_=tt_urv
Life,https://www.imdb.com/title/tt5442430/reviews?ref_=tt_urv
Logan Lucky,https://www.imdb.com/title/tt5439796/reviews?ref_=tt_urv
Okja,https://www.imdb.com/title/tt3967856/reviews?ref_=tt_urv
The Lost City of Z,https://www.imdb.com/title/tt1212428/reviews?ref_=tt_urv
Colossal,https://www.imdb.com/title/tt4680182/reviews?ref_=tt_urv
Una,https://www.imdb.com/title/tt2315582/reviews?ref_=tt_urv
